symbol,symbol_clean,company,isin,agency,rating,action,outlook,date_cr,broadcast,fetch_ts
,False,Bharat Petroleum Corporation Limited,INE029A14BV8,CARE Ratings Limited,CARE A1+,Reaffirm,,24-07-2026,25-JUL-2026 14:20:32,2026-07-28 21:01:10
,False,Bharat Petroleum Corporation Limited,000000000000,CARE Ratings Limited,CARE A1+,New,,24-07-2026,25-JUL-2026 14:20:32,2026-07-28 21:01:10
,False,Bharat Petroleum Corporation Limited,INE029A14BW6,CARE Ratings Limited,CARE A1+,Reaffirm,,24-07-2026,25-JUL-2026 14:20:32,2026-07-28 21:01:10
,False,State Bank Of India,INE062A08454,CRISIL Ratings Limited,Crisil AAA,Reaffirm,Stable,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE062A08488,CARE Ratings Limited,CARE AAA,Reaffirm,Stable,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE062A08439,CRISIL Ratings Limited,CrisilAAA,Reaffirm,Stable,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE062A08439,CARE Ratings Limited,CARE AAA,Reaffirm,Stable,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE062A08405,CRISIL Ratings Limited,Crisil AAA,Reaffirm,Stable,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE062A08371,CRISIL Ratings Limited,Crisil AA+,Reaffirm,Stable,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE062A08413,CRISIL Ratings Limited,Crisil AA+,Reaffirm,Stable,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE062A08280,CRISIL Ratings Limited,Crisil AA+,Reaffirm,Stable,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE062A08298,CRISIL Ratings Limited,Crisil AA+,Reaffirm,Stable,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE062A08306,CRISIL Ratings Limited,Crisil AA+,Reaffirm,Stable,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE062A08314,CRISIL Ratings Limited,Crisil AA+,Reaffirm,Stable,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE062A08355,CRISIL Ratings Limited,Crisil AA+,Reaffirm,Stable,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE062A08355,CARE Ratings Limited,CARE AA+,Reaffirm,Stable,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE062A08363,CRISIL Ratings Limited,Crisil AA+,Reaffirm,Stable,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE062A08363,CARE Ratings Limited,CARE AA+,Reaffirm,Stable,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE062A08462,CRISIL Ratings Limited,Crisil AA+,Reaffirm,Stable,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE062A08462,CARE Ratings Limited,CARE AA+,Reaffirm,Stable,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE062A08231,CRISIL Ratings Limited,Crisil AAA,Reaffirm,Stable,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE062A08231,CARE Ratings Limited,CARE AAA,Reaffirm,Stable,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE062A08470,CARE Ratings Limited,CARE AAA,Reaffirm,Stable,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE062A08454,CARE Ratings Limited,CARE AAA,Reaffirm,Stable,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE649A08037,CARE Ratings Limited,,Other,,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE062A08322,CARE Ratings Limited,CARE AAA,Reaffirm,Stable,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
,False,State Bank Of India,INE649A08029,CARE Ratings Limited,,Other,,24-07-2026,24-JUL-2026 19:59:52,2026-07-28 21:01:10
